Theme,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8
Innocence & Wonder,innocent,wonder,marvel,astonish,bewilderment,imagine,discover,
Love & Devotion,tame,devotion,cherish,bond,tenderness,,,
Loneliness & Longing,solitude,longing,melancholy,forlorn,yearn,,,
Journey & Exploration,voyage,sojourn,wander,roam,explore,journey,adventure,
Vanity & Pride,vanity,conceited,vainglory,haughty,pompous,proud,,
Authority & Power,authority,sovereign,decree,command,dominion,,,
Duty & Responsibility,responsible,obligation,duty,burden,commitment,,,
Wisdom & Insight,essence,invisible,perceive,fathom,enlighten,,,
Imagination & Creativity,imagine,conjure,envision,sketch,boa constrictor,,,
Friendship & Trust,befriend,trust,confide,companion,kinship,neighbour,,
Loss & Grief,farewell,sorrow,lament,anguish,mourn,,,
Nature & Beauty,rose,sunset,constellation,bloom,fragrance,glimpse,,
Absurdity & Folly,absurd,folly,futile,preposterous,nonsensical,,,
Appearance vs Reality,exterior,deceive,illusion,superficial,disguise,,,
Simplicity & Truth,simple,genuine,sincere,candid,forthright,,,
Curiosity & Questions,curious,inquire,ponder,riddle,enigma,,,
Courage & Resolve,courageous,resolute,intrepid,steadfast,dauntless,brave,,
Gentleness & Care,gentle,nurture,console,soothe,caress,whisper,murmur,
Time & Patience,patience,ephemeral,eternal,fleeting,endure,ancient,swift,
Laughter & Joy,laughter,delight,mirth,jubilant,radiant,giggle,,
Desert & Solitude,desert,barren,oasis,arid,desolate,,,
Stars & Dreams,star,luminous,celestial,glimmer,twinkle,,,
Possession & Greed,possess,covet,hoard,acquisitive,insatiable,harvest,feast,treasure
Ritual & Routine,ritual,habitual,custom,ceremony,punctual,,,
Tears & Vulnerability,weep,vulnerable,fragile,tender,poignant,shiver,,
Baobab & Danger,baobab,menace,peril,ravage,vigilant,,,
Domestication & Bonds,domesticate,unique,distinguish,singular,irreplaceable,,,
Sight & Blindness,blind,overlook,gaze,discern,scrutinize,,,
Heart & Feeling,heart,sentiment,compassion,empathy,intuition,comfort,,
Departure & Return,depart,embark,return,homeward,arrival,,,
Vocation & Work,farmer,,,,,,,
